producer_id,season,reporting_month,state,county,usda_farm_resource_region,usda_region_code,fsa_state_office,fsa_county_office,farm_latitude,farm_longitude,producer_type,farm_size_acres,primary_crop,secondary_crop,insured_acres,irrigated_flag,historical_program_participation_flag,underserved_producer_flag,new_producer_flag,historical_yield_value,historical_yield_unit,three_year_avg_yield,yield_volatility_index,last_season_loss_flag,crop_diversity_score,seasonal_rainfall_inches,rainfall_deviation_pct,avg_temperature_f,heat_stress_days,drought_index,flood_risk_index,storm_exposure_flag,soil_type,soil_ph,soil_moisture_index,soil_organic_matter_pct,erosion_risk_index,land_productivity_index,ndvi,ndvi_missing_flag,ndvi_change,crop_health_index,satellite_stress_flag,pest_pressure_flag,disease_pressure_flag,seed_delivery_delay_days,fertilizer_delivery_delay_days,distance_to_input_depot_miles,extension_visit_count,last_extension_visit_days_ago,planting_delay_days,input_credit_amount_usd,repayment_rate,prior_default_flag,loan_distress_flag,current_balance_usd,days_past_due,financial_stress_index,low_input_flag,delayed_planting_flag,drought_stress_flag,crop_health_stress_flag,repayment_stress_flag,logistics_stress_flag,support_gap_flag,priority_signal_count,yield_risk_score,repayment_risk_score,intervention_urgency_score,yield_risk_band,repayment_risk_band,intervention_urgency_band,intervention_priority_tier,recommended_action,approval_required,explanation_summary,action_rationale
US000011,2024-25,2024-11,MO,Buchanan,Heartland,R01,MO FSA State Office,Buchanan County FSA Office,38.7368,-92.462,individual,795.7,hay,,673.5,0,1,0,0,3.05,tons/acre,3.47,0.422,0,0.45,32.2,-7.2,66.4,22,0.599,0.241,0,clay,6.31,0.337,4.03,0.049,0.875,0.524,0,-0.18,0.488,0,1,0,5,9,38.5,1,36,10,33560.87,0.525,1,0,21232.05,38,0.499,1,0,0,1,1,1,0,4,0.54,0.677,0.491,medium,high,medium,active_monitoring,repayment_followup,0,Main drivers: crop health stress; low input access; repayment stress; logistics stress.,"Repayment stress is elevated due to weak repayment performance, prior default exposure, overdue balances, or financial distress."
US000012,2024-25,2025-01,MO,Greene,Heartland,R01,MO FSA State Office,Greene County FSA Office,38.4457,-92.5388,individual,214.6,corn,,132.6,0,1,0,0,133.97,bu/acre,138.45,0.434,0,0.28,31.7,16.2,70.6,11,0.27,0.041,0,clay,6.98,0.686,2.35,0.133,0.664,0.706,0,-0.02,0.747,0,0,0,6,5,12.7,0,42,11,12594.08,0.67,0,0,13210.16,31,0.228,0,1,0,0,1,0,1,3,0.243,0.496,0.408,low,medium,medium,active_monitoring,extension_officer_dispatch,0,Main drivers: delayed planting; repayment stress; limited support coverage.,"Farmer risk is elevated and support coverage appears limited, so extension dispatch is recommended."
US000013,2024-25,2024-11,IA,Black Hawk,Heartland,R01,IA FSA State Office,Black Hawk County FSA Office,42.7512,-93.4481,individual,522.5,hog_feed,,337.5,0,1,0,0,159.48,bu/acre,174.56,0.336,0,0.35,22.4,-22.4,64.3,8,0.72,0.099,0,organic,6.2,0.356,2.64,0.059,0.612,0.512,0,-0.05,0.562,0,0,0,3,1,19.7,2,3,12,29806.72,0.763,0,0,15950.36,9,0.146,0,1,1,0,0,0,0,2,0.407,0.177,0.244,medium,low,low,routine_monitoring,planting_support,1,Main drivers: drought stress; delayed planting.,Combined drought pressure and delayed planting suggest direct planting support is the most useful intervention.
US000014,2024-25,2024-12,MO,Greene,Heartland,R01,MO FSA State Office,Greene County FSA Office,38.1867,-94.0345,family_farm,315.3,soybeans,hog_feed,183.8,0,0,1,0,47.75,bu/acre,51.76,0.181,1,0.49,24.6,-1.7,69.3,15,0.228,0.311,0,loam,6.3,0.534,2.14,0.097,0.756,0.524,0,-0.11,0.517,0,1,0,9,7,21.4,0,82,4,9828.53,0.921,0,0,6382.46,28,0.085,1,0,0,1,0,1,1,4,0.458,0.388,0.448,medium,medium,medium,active_monitoring,pest_control_visit,0,Main drivers: crop health stress; low input access; logistics stress; limited support coverage.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
US000015,2024-25,2025-01,IA,Story,Heartland,R01,IA FSA State Office,Story County FSA Office,42.0243,-94.0817,family_farm,216.1,soybeans,wheat,139.0,1,0,0,1,42.35,bu/acre,43.46,0.417,0,0.63,29.7,-4.9,69.5,2,0.297,0.221,0,organic,5.08,0.661,2.5,0.336,0.321,0.685,0,0.13,0.658,0,0,1,5,0,27.0,1,32,3,8893.48,0.824,0,0,4074.88,5,0.105,1,0,0,1,0,0,0,2,0.505,0.295,0.329,medium,low,low,routine_monitoring,pest_control_visit,0,Main drivers: crop health stress; low input access.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
US000016,2024-25,2025-03,IL,Champaign,Heartland,R01,IL FSA State Office,Champaign County FSA Office,40.2885,-89.3421,individual,230.7,soybeans,hay,209.5,0,0,0,0,47.66,bu/acre,50.41,0.273,1,0.59,26.7,-1.0,71.4,7,0.454,0.235,1,loam,6.62,0.456,3.36,0.59,0.764,0.462,0,-0.09,0.542,0,0,0,0,3,28.3,0,84,7,12280.4,0.854,0,0,6254.61,11,0.097,0,0,0,1,0,0,1,2,0.504,0.376,0.493,medium,medium,medium,active_monitoring,extension_officer_dispatch,0,Main drivers: crop health stress; limited support coverage.,"Farmer risk is elevated and support coverage appears limited, so extension dispatch is recommended."
US000017,2024-25,2024-12,IL,Peoria,Heartland,R01,IL FSA State Office,Peoria County FSA Office,40.2547,-88.3269,cooperative,339.6,hay,hog_feed,304.7,0,1,1,0,3.57,tons/acre,3.71,0.514,0,0.6,30.5,-7.8,67.0,11,0.307,0.063,0,sandy clay,6.21,0.608,4.26,0.161,0.539,0.726,0,0.02,0.749,1,0,0,0,5,12.1,3,9,8,24259.57,0.763,0,0,18785.31,17,0.158,0,0,0,1,0,0,0,1,0.403,0.26,0.263,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: crop health stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000018,2024-25,2024-11,OH,Licking,Heartland,R01,OH FSA State Office,Licking County FSA Office,39.6293,-81.4792,individual,204.3,corn,wheat,99.5,0,1,0,0,154.1,bu/acre,167.59,0.402,0,0.59,30.6,-3.1,68.1,14,0.671,0.24,0,organic,6.47,0.227,2.89,0.415,0.85,0.46,0,-0.16,0.506,0,0,0,3,1,40.1,2,26,8,6932.87,0.975,0,0,3357.51,2,0.017,1,0,1,1,0,0,0,3,0.544,0.171,0.301,medium,low,low,routine_monitoring,drought_advisory,0,Main drivers: drought stress; crop health stress; low input access.,"Moisture and rainfall indicators point to drought stress, so advisory support is appropriate."
US000019,2024-25,2025-02,OH,Wood,Heartland,R01,OH FSA State Office,Wood County FSA Office,40.2836,-83.1804,individual,114.1,soybeans,hog_feed,98.9,0,1,0,0,43.57,bu/acre,44.07,0.462,0,0.49,30.6,-5.1,69.0,19,0.094,0.444,0,sandy clay,5.63,0.485,2.1,0.47,0.557,0.765,0,0.23,0.759,0,0,0,2,6,9.7,0,63,10,4061.49,0.83,0,0,3221.0,14,0.114,0,0,0,0,0,0,0,0,0.183,0.252,0.141,low,low,low,routine_monitoring,monitor_only,0,Main drivers: no major stress signals detected.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000020,2024-25,2024-12,IL,Sangamon,Heartland,R01,IL FSA State Office,Sangamon County FSA Office,39.3792,-89.7714,individual,426.3,corn,hay,365.5,0,1,0,0,165.45,bu/acre,174.44,0.438,0,0.29,20.4,7.1,68.7,0,0.43,0.014,0,silt loam,6.93,0.5,2.8,0.439,0.445,,1,-0.11,0.225,0,0,0,4,0,36.3,3,56,15,14904.48,0.758,0,0,6328.61,15,0.155,1,1,0,1,0,0,0,3,0.559,0.248,0.255,medium,low,low,routine_monitoring,targeted_input_topup,1,Main drivers: delayed planting; crop health stress; low input access.,"Input access appears constrained, so a targeted seed or fertilizer top-up is the clearest operational response."
US000021,2024-25,2025-01,IL,LaSalle,Heartland,R01,IL FSA State Office,LaSalle County FSA Office,40.2905,-90.2668,individual,107.9,hog_feed,soybeans,86.7,0,0,0,0,160.72,bu/acre,166.97,0.443,0,0.67,37.4,-12.6,63.0,13,0.312,0.092,0,sandy clay,7.81,0.514,4.13,0.167,0.61,0.613,0,-0.16,0.656,0,0,0,5,3,37.5,0,69,0,6090.02,0.712,0,0,5804.07,17,0.184,0,0,0,1,0,0,1,2,0.422,0.33,0.384,medium,low,medium,active_monitoring,extension_officer_dispatch,0,Main drivers: crop health stress; limited support coverage.,"Farmer risk is elevated and support coverage appears limited, so extension dispatch is recommended."
US000022,2024-25,2025-02,IL,Sangamon,Heartland,R01,IL FSA State Office,Sangamon County FSA Office,39.7731,-88.7569,individual,67.2,soybeans,corn,38.6,0,1,0,1,35.25,bu/acre,36.83,0.293,0,0.68,29.7,7.8,71.5,9,0.356,0.141,0,silt loam,6.14,0.605,1.84,0.332,0.593,0.583,0,-0.06,0.649,1,0,0,4,0,18.2,3,63,11,3055.6,0.774,0,0,1511.86,7,0.135,0,1,0,1,0,0,0,2,0.506,0.275,0.297,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: delayed planting; crop health stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000023,2024-25,2025-03,MO,Boone,Heartland,R01,MO FSA State Office,Boone County FSA Office,38.0637,-91.9444,family_farm,149.1,corn,hog_feed,97.9,0,0,0,0,191.39,bu/acre,198.17,0.486,0,0.5,25.6,-14.1,67.9,1,0.285,0.024,0,sandy clay,7.67,0.462,4.15,0.584,0.586,0.707,0,0.13,0.714,0,0,0,2,4,22.4,2,4,5,7653.2,0.831,0,0,6954.46,0,0.095,0,0,0,0,0,0,0,0,0.251,0.187,0.18,low,low,low,routine_monitoring,monitor_only,0,Main drivers: no major stress signals detected.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000024,2024-25,2025-03,OH,Wood,Heartland,R01,OH FSA State Office,Wood County FSA Office,40.6293,-81.3929,individual,161.6,hog_feed,,79.9,0,1,0,0,159.4,bu/acre,171.61,0.429,1,0.39,25.6,-18.6,65.5,3,0.593,0.35,0,sandy loam,6.39,0.592,5.37,0.122,0.514,0.657,0,0.06,0.699,0,0,0,5,7,40.3,4,23,8,5924.97,0.663,0,0,3120.03,29,0.227,0,0,1,0,0,0,0,1,0.37,0.293,0.317,medium,low,low,routine_monitoring,drought_advisory,0,Main drivers: drought stress.,"Moisture and rainfall indicators point to drought stress, so advisory support is appropriate."
US000025,2024-25,2024-10,IA,Black Hawk,Heartland,R01,IA FSA State Office,Black Hawk County FSA Office,42.0123,-93.437,corporation,295.8,corn,soybeans,282.0,0,1,1,0,172.83,bu/acre,190.02,0.453,0,0.54,22.6,15.9,69.9,10,0.337,0.134,1,organic,6.1,0.56,2.93,0.21,0.566,0.535,0,-0.11,0.528,0,1,0,4,3,26.0,3,3,2,12785.24,0.889,0,0,13099.94,19,0.091,0,0,0,1,0,0,0,1,0.334,0.186,0.231,low,low,low,routine_monitoring,pest_control_visit,0,Main drivers: crop health stress.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
US000026,2024-25,2024-11,IL,Sangamon,Heartland,R01,IL FSA State Office,Sangamon County FSA Office,39.3864,-88.0379,individual,324.9,corn,,214.5,0,0,1,0,174.21,bu/acre,184.73,0.302,0,0.39,28.9,-10.5,73.4,4,0.474,0.13,0,loam,6.55,0.472,3.74,0.32,0.809,0.722,0,0.05,0.726,0,0,0,1,4,33.6,1,22,5,14574.07,0.617,0,0,5519.91,33,0.259,0,0,0,0,1,0,0,1,0.306,0.364,0.285,low,medium,low,routine_monitoring,monitor_only,0,Main drivers: repayment stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000027,2024-25,2025-01,IN,Tippecanoe,Heartland,R01,IN FSA State Office,Tippecanoe County FSA Office,41.1361,-86.6471,individual,352.6,wheat,,338.2,1,1,0,0,62.91,bu/acre,62.1,0.277,0,0.43,24.0,2.5,64.4,12,0.307,0.092,0,organic,6.29,0.783,2.31,0.409,0.616,0.825,0,0.15,0.845,0,0,0,2,3,32.1,1,21,15,17129.05,0.769,0,0,15896.0,24,0.164,0,1,0,0,0,0,0,1,0.391,0.242,0.21,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: delayed planting.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000028,2024-25,2025-03,IN,Allen,Heartland,R01,IN FSA State Office,Allen County FSA Office,40.1007,-84.7722,individual,142.6,hog_feed,hay,114.7,0,1,0,0,159.05,bu/acre,171.53,0.327,1,0.63,31.1,-14.4,71.2,5,0.606,0.191,0,sandy loam,5.78,0.527,2.65,0.342,0.45,0.674,0,-0.03,0.701,0,0,0,0,2,4.6,4,56,12,4169.06,,0,0,4225.94,44,0.063,1,1,1,0,1,0,0,4,0.552,0.297,0.334,medium,low,low,routine_monitoring,planting_support,1,Main drivers: drought stress; delayed planting; low input access; repayment stress.,Combined drought pressure and delayed planting suggest direct planting support is the most useful intervention.
US000029,2024-25,2025-01,OH,Darke,Heartland,R01,OH FSA State Office,Darke County FSA Office,40.2872,-81.9791,individual,258.1,soybeans,,118.5,0,1,0,0,52.59,bu/acre,55.36,0.391,0,0.38,28.0,7.3,68.7,0,0.418,0.022,0,sandy loam,5.69,0.621,2.68,0.542,0.617,0.659,0,0.13,0.704,0,0,0,6,3,4.7,2,20,12,14769.77,0.854,0,0,7970.38,9,0.095,0,1,0,0,0,0,0,1,0.4,0.205,0.25,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: delayed planting.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000030,2024-25,2024-12,IA,Story,Heartland,R01,IA FSA State Office,Story County FSA Office,42.0242,-93.9813,family_farm,166.5,hay,,140.1,0,1,0,0,2.98,tons/acre,3.1,0.499,1,0.46,24.3,-4.3,70.1,12,0.311,0.111,0,loam,5.24,0.818,2.32,0.238,0.525,0.722,0,0.14,0.778,0,0,0,6,4,36.2,6,3,13,9468.91,0.808,0,0,3615.81,0,0.106,0,1,0,0,0,0,0,1,0.353,0.166,0.177,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: delayed planting.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000031,2024-25,2025-02,IN,Allen,Heartland,R01,IN FSA State Office,Allen County FSA Office,40.0607,-86.0047,family_farm,517.4,corn,hog_feed,353.6,0,1,1,0,132.99,bu/acre,142.25,0.262,0,0.74,32.5,-4.9,71.8,15,0.542,0.026,0,loam,6.32,0.495,2.94,0.445,0.453,0.531,0,0.07,0.596,0,0,0,2,1,52.6,2,52,9,29109.53,0.468,1,0,16379.49,55,0.554,0,0,0,0,1,0,0,1,0.228,0.617,0.291,low,medium,low,routine_monitoring,monitor_only,0,Main drivers: repayment stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000032,2024-25,2025-02,IA,Black Hawk,Heartland,R01,IA FSA State Office,Black Hawk County FSA Office,42.34,-93.0972,family_farm,153.8,soybeans,hay,105.3,0,0,0,0,44.77,bu/acre,46.9,0.36,0,0.58,32.2,-4.3,64.7,12,0.377,0.086,0,sandy clay,5.35,0.552,4.46,0.521,0.623,0.576,0,-0.1,0.636,0,0,0,8,5,30.4,0,27,9,7770.73,0.785,0,0,4024.5,31,0.163,1,0,0,1,1,1,1,5,0.487,0.575,0.657,medium,medium,medium,priority_deployment,targeted_input_topup,1,Main drivers: crop health stress; low input access; repayment stress; logistics stress; limited support coverage.,"Input access appears constrained, so a targeted seed or fertilizer top-up is the clearest operational response."
US000033,2024-25,2025-01,IL,McLean,Heartland,R01,IL FSA State Office,McLean County FSA Office,39.649,-89.664,family_farm,72.8,soybeans,hog_feed,59.9,0,1,0,0,53.66,bu/acre,56.98,0.424,1,0.52,39.6,-16.9,66.1,4,0.486,0.161,0,organic,5.54,0.707,2.03,0.368,0.704,0.591,0,-0.03,0.67,1,0,0,6,11,19.6,3,3,6,4469.28,0.934,0,0,2395.28,0,0.037,1,0,1,1,0,1,0,4,0.506,0.349,0.324,medium,medium,low,routine_monitoring,drought_advisory,0,Main drivers: drought stress; crop health stress; low input access; logistics stress.,"Moisture and rainfall indicators point to drought stress, so advisory support is appropriate."
US000034,2024-25,2025-02,IA,Story,Heartland,R01,IA FSA State Office,Story County FSA Office,41.6754,-94.3568,family_farm,185.3,wheat,,129.4,0,1,0,0,49.91,bu/acre,57.26,0.263,0,0.36,25.8,0.8,64.1,0,0.32,0.4,0,silt loam,7.32,0.564,2.47,0.391,0.726,0.438,0,-0.12,0.392,1,1,1,2,8,44.4,2,43,8,9783.98,0.788,0,0,10012.32,29,0.159,0,0,0,1,0,0,0,1,0.406,0.289,0.259,medium,low,low,routine_monitoring,pest_control_visit,0,Main drivers: crop health stress.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
US000035,2024-25,2025-03,MO,Jasper,Heartland,R01,MO FSA State Office,Jasper County FSA Office,37.9647,-93.1228,corporation,114.7,soybeans,corn,62.3,0,1,0,0,41.41,bu/acre,42.57,0.322,0,0.44,28.7,-1.0,78.0,13,0.227,0.015,0,silt loam,6.54,0.539,2.75,0.342,0.638,0.67,0,-0.01,0.7,1,0,0,2,4,10.2,4,4,7,6099.48,0.944,0,0,5797.03,10,0.046,0,0,0,1,0,0,0,1,0.356,0.255,0.224,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: crop health stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000036,2024-25,2025-02,OH,Wayne,Heartland,R01,OH FSA State Office,Wayne County FSA Office,40.3283,-82.4292,individual,173.2,soybeans,corn,107.6,0,0,0,0,52.63,bu/acre,53.85,0.301,1,0.51,32.7,-1.2,63.6,0,0.188,0.111,0,organic,5.88,0.695,3.23,0.288,0.601,0.603,0,-0.0,0.676,1,0,0,2,5,30.4,2,30,9,11758.0,0.693,0,0,7753.56,19,0.198,0,0,0,1,0,0,0,1,0.339,0.277,0.235,low,low,low,routine_monitoring,monitor_only,0,Main drivers: crop health stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000037,2024-25,2024-11,IN,Vigo,Heartland,R01,IN FSA State Office,Vigo County FSA Office,40.3393,-85.7665,individual,177.8,hog_feed,corn,137.4,0,1,1,0,173.6,bu/acre,185.04,0.514,0,0.6,29.0,-6.7,70.0,8,0.515,0.134,0,loam,5.85,0.484,1.34,0.561,0.538,0.648,0,0.09,0.676,1,0,0,0,3,14.9,5,3,1,7277.85,0.791,0,0,7298.64,25,0.152,0,0,0,1,0,0,0,1,0.475,0.296,0.287,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: crop health stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000038,2024-25,2025-03,IN,Hamilton,Heartland,R01,IN FSA State Office,Hamilton County FSA Office,39.3044,-86.2561,corporation,192.0,corn,,180.2,0,1,0,0,168.63,bu/acre,177.35,0.39,0,0.39,39.5,-4.7,65.3,9,0.41,0.181,0,silt loam,6.77,0.622,2.69,0.138,0.736,,1,-0.11,0.243,0,0,0,2,5,14.1,3,53,16,10071.94,0.762,0,0,7613.85,6,0.141,0,1,0,1,0,0,0,2,0.47,0.338,0.348,medium,low,medium,active_monitoring,monitor_only,0,Main drivers: delayed planting; crop health stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000039,2024-25,2025-01,IL,Peoria,Heartland,R01,IL FSA State Office,Peoria County FSA Office,39.0261,-88.7944,individual,199.5,soybeans,hay,181.7,0,0,0,0,46.79,bu/acre,51.77,0.609,0,0.36,27.3,-6.0,72.1,10,0.385,0.02,0,silt loam,5.95,0.632,2.97,0.334,0.689,0.574,0,-0.05,0.566,0,1,0,3,7,36.7,0,75,9,9593.62,0.932,0,0,8869.53,7,0.049,0,0,0,1,0,0,1,2,0.431,0.277,0.37,medium,low,medium,active_monitoring,pest_control_visit,0,Main drivers: crop health stress; limited support coverage.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
